# Time-averaged data for fix rg-avg
# TimeStep v_Rg2
102000 56.0744
103000 50.4727
104000 53.8891
105000 55.4088
106000 46.282
107000 45.7216
108000 48.5607
109000 49.4138
110000 51.5497
111000 53.4428
112000 57.0107
113000 53.6764
114000 54.2372
115000 54.6851
116000 49.5397
117000 55.158
118000 48.7565
119000 45.3864
120000 47.5876
121000 53.962
122000 52.1545
123000 48.2805
124000 51.5527
125000 55.6128
126000 67.057
127000 60.1555
128000 53.645
129000 47.0785
130000 50.3254
131000 56.6835
132000 52.5396
133000 51.5284
134000 58.5337
135000 53.5618
136000 49.183
137000 48.8555
138000 47.8382
139000 47.5041
140000 44.7174
141000 48.1875
142000 49.3968
143000 47.9886
144000 47.9756
145000 48.2371
146000 45.7116
147000 48.6881
148000 52.6998
149000 54.5381
150000 48.575
